% Model,2DPnC_unit_cell.mph
% Version,COMSOL 6.2.0.415
% Date,"May 8 2025, 10:35"
% Table,Eigenfrequencies (Study 1) - 
% k,Eigenfrequency (kHz),Angular frequency (rad/s),Damping ratio (1),Quality factor (1)
0,2.495459222704977E-5i,0.15679432722765704i,1,0.5
0,2.511993932652347E-5i,0.15783323369365493i,1,0.5
0,17.200587619557776,108074.47940606052,0,Inf
0,30.610891766141126,192333.9053846825,0,Inf
0,30.612968736423806,192346.95537384608,0,Inf
0,38.39325639192453,241231.94445651895,0,Inf
0,38.3963355831831,241251.2915857928,0,Inf
0,41.7149171243872,262102.55436616376,0,Inf
0,59.14383544195522,371611.6778591403,0,Inf
0,63.60041113432324,399613.1687697607,0,Inf
0,63.60461502754569,399639.582609889,0,Inf
0,66.1277586993928,415492.96185674187,0,Inf
0,68.74078358351638,431911.0814159618,0,Inf
0,75.73596250411339,475863.0868309493,0,Inf
0,75.73958073934804,475885.8208734136,0,Inf
0.05,0.9924547809386369-2.1156360756681622E-14i,6235.777297633778-1.3292933505977275E-10i,-2.1317203728589537E-14,-2.345523392120261E13
0.05,1.7691441755892365-1.388820416699932E-14i,11115.860690344633-8.726216036520043E-11i,-7.850238753081654E-15,-6.369233035157335E13
0.05,17.2156248595803+3.585699430543803E-15i,108168.96117163055+2.2529613977955028E-11i,2.082816894414612E-16,2.40059508515043E15
0.05,30.605598639070287-2.530026026696041E-14i,192300.64768644195-1.5896622357718512E-10i,-8.266546446395195E-16,-6.048475058384699E14
0.05,30.61030171040738-3.10992401667557E-14i,192330.19795516582-1.9540228888020867E-10i,-1.0159730034997363E-15,-4.9213906105540506E14
0.05,38.328358106718404+7.056257660620268E-15i,240824.17650445068+4.433577445688267E-11i,1.8410018088887059E-16,2.715912594902977E15
0.05,38.39652950058775-3.0632364547380625E-14i,241252.5100047805-1.924688228482708E-10i,-7.977899290849119E-16,-6.267314010512949E14
0.05,41.73110543658572+7.221498590275326E-15i,262204.26853151753+4.537401383823603E-11i,1.7304834163209654E-16,2.8893660308112505E15
0.05,59.16391760592354-2.756540132865139E-14i,371737.85781672236-1.7319852461469105E-10i,-4.659157548061273E-16,-1.0731553823674742E15
0.05,63.59910730049632-1.4815110209493088E-11i,399604.9765402164-9.308608279253326E-8i,-2.329452540818521E-13,-2.1464270734801511E12
0.05,63.62825170465621-4.6261535678906376E-12i,399788.09623222036-2.9066980126526875E-8i,-7.27059669871788E-14,-6.877014648442425E12
0.05,66.10135691785989+1.2409310637257985E-12i,415327.0745709309+7.796999826824672E-9i,1.8773155674668337E-14,2.663377477206338E13
0.05,68.74878600098862+6.658505767564509E-12i,431961.36208784534+4.1836625606531854E-8i,9.685270322400686E-14,5.16247852002199E12
0.05,75.43829028993383-3.9407534079688333E-7i,473992.7571484607-0.0024760483912167654i,-5.223810604433423E-9,-9.571556816697228E7
0.05,75.72832269298003+1.061345676290682E-7i,475815.08448188653+6.668631559108195E-4i,1.401517475296027E-9,3.5675616523753333E8
0.1,1.984013205615819+1.0722877683884078E-14i,12465.922622775586+6.73738275140643E-11i,5.4046402783674E-15,9.251309509002825E13
0.1,3.53433739513064+1.1439645904548822E-14i,22206.89679170021+7.187741506679829E-11i,3.236715860887972E-15,1.5447756970018006E14
0.1,17.26030339993477+4.907274649785404E-15i,108449.68471993199+3.08333159778265E-11i,2.843098719692233E-16,1.7586445259070188E15
0.1,30.586308894111244,192179.44664433607,-3.19447876424192E-17,-1.565200575433015E16
0.1,30.605518758962887+1.2373065721950494E-14i,192300.14578492483+7.774226474892672E-11i,4.042756412461402E-16,1.2367799317782265E15
0.1,38.13214662023335,239591.34337546787,-9.150210625515794E-17,-5.464355089332331E15
0.1,38.406366242112604,241314.31607459998,-3.5463454945813824E-17,-1.4099021112409156E16
0.1,41.77358867907462,262471.19861652516,6.332967011146342E-17,7.895193502823791E15
0.1,59.22295516468234,372108.80173848744,3.1862076537736914E-17,1.5692636963187516E16
0.1,63.593638090266694-4.089360691905948E-12i,399570.6124788598-2.5694211015141196E-8i,-6.430455647310802E-14,-7.775498773700407E12
0.1,63.6997805157905-1.0980085344287895E-12i,400237.52500737936-6.898991090680761E-9i,-1.7237242036597045E-14,-2.900696056471395E13
0.1,66.02102752472172+5.260519598504614E-13i,414822.35010823054+3.3052819449454444E-9i,7.967945661758748E-15,6.2751431953118516E13
0.1,68.77260037410012+1.2721329278467127E-11i,432110.9922070792+7.993046921025814E-8i,1.849767088821321E-13,2.703043010234343E12
0.1,74.74531987928187-3.3946853555407784E-8i,469638.695645942-2.1329437148431525E-4i,-4.5416694463591793E-10,-1.1009167573849392E9
0.1,75.70522602396316+1.779180420410235E-8i,475669.96383047494+1.117892027634319E-4i,2.3501421419005696E-10,2.127530888815295E9
0.15000000000000002,2.9737505558790507+1.1935178059184363E-14i,18684.62579991638+7.499093542003935E-11i,4.0135101565895405E-15,1.2457922877785177E14
0.15000000000000002,5.291516777411959+3.3475721764968644E-15i,33247.58046852909+2.1033416314088287E-11i,6.326299844284225E-16,7.903514096818334E14
0.15000000000000002,17.333328237795598+1.2485377012561362E-14i,108908.51330823834+7.844793739992331E-11i,7.203104240152101E-16,6.941451675971331E14
0.15000000000000002,30.553423111134865,191972.81917592377,5.3658462444085045E-17,9.318194693353848E15
0.15000000000000002,30.59762622761778-6.113029555672093E-14i,192250.55554794078-3.840929748655345E-10i,-1.9978770608533023E-15,-2.502656493720628E14
0.15000000000000002,37.82629399542219+1.251842568798308E-14i,237669.61465709208+7.865558835175478E-11i,3.3094507459541457E-16,1.5108247210243502E15
0.15000000000000002,38.42335627422085-9.181173086034554E-15i,241421.06759471103-5.768701183684497E-11i,-2.3894771244110245E-16,-2.0925080005662058E15
0.15000000000000002,41.82809862552629,262813.6947111654,-4.098304054119178E-17,-1.2200168494025068E16
0.15000000000000002,59.317465159774166+2.1860232413474376E-14i,372702.62555103004+1.3735189111187314E-10i,3.6852944330296135E-16,1.3567436987360578E15
0.15000000000000002,63.58086062714078-2.468704390448419E-12i,399490.329310284-1.5511327153835243E-8i,-3.882779135258516E-14,-1.287737423588246E13
0.15000000000000002,63.818992314590844-8.166836589772938E-13i,400986.5548300441-5.1313747666997965E-9i,-1.2796874869968397E-14,-3.907203946905787E13
0.15000000000000002,65.88377215472391+1.445891645872841E-12i,413959.9491841289+9.084805145121944E-9i,2.1946096870064678E-14,2.27830945502669E13
0.15000000000000002,68.81165281951154+1.3073420362917857E-11i,432356.3659582976+8.214272273886789E-8i,1.899884660118335E-13,2.6317387075953193E12
0.15000000000000002,73.90634741632057-1.9253157841886472E-8i,464367.27619353536-1.2097115846895052E-4i,-2.60507500572743E-10,-1.9193305332887418E9
0.15000000000000002,75.66660142513706-1.1439527074900832E-9i,475427.27831863513-7.187666843809997E-6i,-1.5118330755503613E-11,-3.307243425786158E10
0.2,3.9606839177721658-2.852123124814476E-14i,24885.710998528553-1.7920418112101447E-10i,-7.201087448600946E-15,-6.943395751944963E13
0.2,7.03639106432742,44210.94895095177,-5.0596135820580236E-17,-9.882177598958504E15
0.2,17.432554954796096+7.046081964260362E-15i,109531.97315857552+4.4271838671023783E-11i,4.0419100829060195E-16,1.2370388992931632E15
0.2,30.506278241055863-4.708067774929786E-15i,191676.5992209345-2.958166226864452E-11i,-1.5433110973837476E-16,-3.2397874987590655E15
0.2,30.58624296195765-8.2175252663297E-15i,192179.03238039734-5.1632234014779776E-11i,-2.6866736383904476E-16,-1.86103735435296E15
0.2,37.43298922593855+7.235048573215196E-15i,235198.4079082288+4.545915089195635E-11i,1.932800111031954E-16,2.586920381192661E15
0.2,38.448398904052226,241578.41507852066,-2.094216141364483E-18,-2.38752815492208864E17
0.2,41.879566619160755-4.9257256629579914E-15i,263137.0776525595-3.094924711269508E-11i,-1.1761644306759306E-16,-4.2511062820753275E15
0.2,59.4421016699022+9.55665929420873E-15i,373485.73984020465+6.004626126309353E-11i,1.6077256735098973E-16,3.109983302738631E15
