% Model,2DPnC_unit_cell.mph
% Version,COMSOL 6.2.0.415
% Date,"May 8 2025, 20:09"
% Table,Eigenfrequencies (Study 1) - 
% k,Eigenfrequency (kHz),Angular frequency (rad/s),Damping ratio (1),Quality factor (1)
0,4.0608411824770176E-5i,0.2551501765252937i,1,0.5
0,4.0891583693636494E-5i,0.25692939785116115i,1,0.5
0,23.92779473810872,150342.76833169372,0,Inf
0,34.60082757033905,217403.41140620864,0,Inf
0,34.60234616765511,217412.95303455245,0,Inf
0,42.09815297514644,264510.4962328387,0,Inf
0,42.09832027169675,264511.54738806555,0,Inf
0,52.954784632856295,332724.724750022,0,Inf
0,55.19448380000817,346797.16964957304,0,Inf
0,56.016780698294944,351963.8134390278,0,Inf
0,58.40582916424679,366974.6476584364,0,Inf
0,58.407784334298405,366986.93235417776,0,Inf
0,74.09592703501472,465558.44006825524,0,Inf
0,77.52816662542102,487123.8374334161,0,Inf
0,79.07269945374102,496828.4234067729,0,Inf
0.05,1.051298528993505-1.0659533374487187E-14i,6605.503470831502-6.697582347996833E-11i,-1.0139397212599964E-14,-4.931259615499263E13
0.05,1.8685534085051596-3.705156460754244E-14i,11740.467321999953-2.328018463501258E-10i,-1.9829010205913056E-14,-2.5215580344544824E13
0.05,23.925592407842707+1.0876124894241414E-14i,150328.93068252475+6.833670813454778E-11i,4.545812161656765E-16,1.0999134636873561E15
0.05,34.60055848059914-1.1561820799572878E-13i,217401.72066550853-7.264506257211963E-10i,-3.3415127695281855E-15,-1.4963282635325644E14
0.05,34.603930727024675-1.480574547508718E-13i,217422.90911470164-9.302724243090841E-10i,-4.278631116182509E-15,-1.1685980548987155E14
0.05,42.0308916084329+9.779427745987848E-14i,264087.8806017634+6.144595672621522E-10i,2.3267238385268383E-15,2.1489443298804822E14
0.05,42.10135349976569+2.2345537195961857E-13i,264530.60572210164+1.4040115099070246E-9i,5.307557914043361E-15,9.420528387962403E13
0.05,52.898623903822305-6.996896352843984E-14i,332371.85648251517-4.3962796360047755E-10i,-1.3226991245680416E-15,-3.7801491715909825E14
0.05,55.19820260818107-2.3911844805692406E-14i,346820.5356104452-1.5024255195068503E-10i,-4.3319969991465573E-16,-1.1542020922417642E15
0.05,56.0049318986504+1.1099003638018286E-13i,351889.36523519346+6.973709658272927E-10i,1.9817903998354386E-15,2.5229711479151297E14
0.05,58.405971039830945-3.6058146439491685E-13i,366975.5390890222-2.2656001591274407E-9i,-6.173708920086478E-15,-8.098859315722262E13
0.05,58.53751129624767+3.480601964341043E-13i,367802.0308954424+2.1869267122488047E-9i,5.945934303093876E-15,8.409107375098858E13
0.05,74.08669709215647-6.986763043561876E-10i,465500.4466269021-4.3899126900053306E-6i,-9.430523046358835E-12,-5.301932857192392E10
0.05,77.14469959745276+3.2928516960784365E-8i,484714.4430374981+2.068959739552141E-4i,4.268409512592312E-10,1.1713965085237043E9
0.05,79.05906473537259-5.894354010093867E-7i,496742.75394465274-0.003703531851153686i,-7.455633367057299E-9,-6.706338353616597E7
0.1,2.101837505143583+1.051486402299372E-14i,13206.23453039716+6.606683913626538E-11i,5.002700730794798E-15,9.994601454414064E13
0.1,3.7334733580326565+1.635096178636653E-14i,23458.10494793722+1.0273612285435305E-10i,4.379557644676115E-15,1.141667813432735E14
0.1,23.918750935918435+4.678151329312484E-15i,150285.94444665068+2.9393691697098855E-11i,1.955851014898681E-16,2.5564319377664945E15
0.1,34.599446667158475-1.2571146311076565E-14i,217394.73493563384-7.898684179616113E-11i,-3.633337386001898E-16,-1.3761452540200152E15
0.1,34.60846038865459-3.804256298020147E-14i,217451.36981810123-2.3902847276465594E-10i,-1.0992272569476294E-15,-4.548649943310327E14
0.1,41.834918158156576-1.0865884119054509E-13i,262856.54309838987-6.827236344635929E-10i,-2.597324100880542E-15,-1.9250581774930997E14
0.1,42.11060551982078-3.935839276135306E-14i,264588.7378785735-2.472960751123369E-10i,-9.346432395237753E-16,-5.3496348002769794E14
0.1,52.71425737607508+9.717807789246036E-15i,331213.4474242381+6.105878711938603E-11i,1.8434875635100124E-16,2.712250464266744E15
0.1,55.25695229148763-3.6014132210268385E-14i,347189.6707573984-2.2628346635438138E-10i,-6.51757484203782E-16,-7.671565146824879E14
0.1,55.96960420731378+2.3684377613737313E-14i,351667.3948040507+1.4881333343232737E-10i,4.231650008817174E-16,1.181572197507325E15
0.1,58.402432240490604+4.3551920495566084E-14i,366953.30415700196+2.736447869571943E-10i,7.457210055263997E-16,6.704920423249351E14
0.1,58.893394800303625,370038.11289919436,9.474192009957874E-17,5.277494898503996E15
0.1,74.0587763555798-1.0592554219400218E-9i,465325.0154650779-6.6554981036838585E-6i,-1.4302902020068479E-11,-3.495794065417265E10
0.1,76.35427813240655-8.950398256532117E-9i,479748.07850184035-5.623701081884838E-5i,-1.1722196156463116E-10,-4.265412328254902E9
0.1,79.01830189379501-2.3535446680442616E-7i,496486.6334573737-0.001478775727804656i,-2.978480442679667E-9,-1.6787083535460854E8
0.15000000000000002,3.1508367664717687+6.38014359242614E-15i,19797.291276416654+4.008762447762791E-11i,2.0249045143555537E-15,2.469252236119045E14
0.15000000000000002,5.59101165601384-2.813863451247902E-15i,35129.362289335964-1.768002549329046E-11i,-5.032834170934408E-16,-9.934760077882099E14
0.15000000000000002,23.906562640092304+1.135026698120599E-14i,150209.36312539637+7.131583072887907E-11i,4.747762006642944E-16,1.0531277669361124E15
0.15000000000000002,34.59740739909053+1.4268246508062864E-14i,217381.9218364719+8.965003681867702E-11i,4.124079687091795E-16,1.2123917041782198E15
0.15000000000000002,34.61435818768298-1.7782593116987338E-14i,217488.4267823011-1.1173132779620767E-10i,-5.137345901538344E-16,-9.732652026609272E14
0.15000000000000002,41.52619683252892+3.25215594996265E-14i,260916.78980119317+2.0433898481461992E-10i,7.831576686587207E-16,6.384410445170354E14
0.15000000000000002,42.126530152273176+1.1933360025494576E-14i,264688.7952952206+7.497951237747173E-11i,2.8327422131278105E-16,1.765074130935191E15
0.15000000000000002,52.388442721540656,329166.29357400356,-6.431220659797149E-17,-7.774573855405091E15
0.15000000000000002,55.44207672321988-7.604335143651518E-15i,348352.8418668585-4.7779446845460586E-11i,-1.371581945173912E-16,-3.6454256470735455E15
0.15000000000000002,55.911388241561056-1.2504636209851994E-14i,351301.6131033899-7.856894650536787E-11i,-2.236509699209512E-16,-2.2356263430322868E15
0.15000000000000002,58.39570301432176-7.992931226497876E-15i,366911.0231820091-5.022106804362836E-11i,-1.3687533181230099E-16,-3.652959181028009E15
0.15000000000000002,59.40177153170442,373232.33810844383,5.479094651844553E-17,9.12559522642438E15
0.15000000000000002,74.01147886445744-1.343400064751459E-9i,465027.8365637915-8.440831548510471E-6i,-1.815123931264398E-11,-2.7546328456575676E10
0.15000000000000002,75.40630806361108-1.7199915736781876E-10i,473791.8068939387-1.0807025784207483E-6i,-2.2809651047061485E-12,-2.192054577987127E11
0.15000000000000002,78.95095563714463-9.171607695864007E-8i,496063.48444709444-5.762691071786795E-4i,-1.161684190121313E-9,-4.3040957624445736E8
0.2,4.197473999261064+2.4491634822568964E-14i,26373.506959425453+1.5388548006597324E-10i,5.8348508714718776E-15,8.569199299413661E13
0.2,7.437184158209784-1.706064909190745E-14i,46729.2062296525-1.0719521970521964E-10i,-2.2939662013175353E-15,-2.1796310674186303E14
0.2,23.88783352040049+1.0043994690161651E-14i,150091.68459573237+6.310827986261346E-11i,4.2046486474313214E-16,1.189160003429673E15
0.2,34.59427771702978+8.078977990865161E-15i,217362.25746413172+5.0761715809231235E-11i,2.3353509666970466E-16,2.1410058151009492E15
0.2,34.61875542834678-1.3496936650523425E-14i,217516.05546023202-8.480375405450244E-11i,-3.8987353772607804E-16,-1.282467137719144E15
0.2,41.12741209539968+1.8169329640434262E-14i,258411.15140013525+1.1416126503807911E-10i,4.4178149595915377E-16,1.1317812189359532E15
0.2,42.14990594951832-8.78735821728937E-15i,264835.6697610149-5.5212600039796374E-11i,-2.084787147049326E-16,-2.3983263745062315E15
0.2,51.94579822949446-1.401695464897537E-14i,326385.07620527496-8.807112350184463E-11i,-2.6983808367038704E-16,-1.8529630554698152E15
0.2,55.76906818617171,350407.3898224506,7.778668166488586E-17,6.427835579284107E15
0.2,55.831084003747044+1.117923133997302E-14i,350797.04669625266+7.024118210088003E-11i,2.0023310561590992E-16,2.497089571986699E15
0.2,58.38465621772604-1.1518428347265873E-14i,366841.6141119475-7.237241975334178E-11i,-1.972851960335563E-16,-2.5344020233274615E15
0.2,60.002800455027355+1.528900715319903E-14i,377008.71420865646+9.606366510634374E-11i,2.548048930592545E-16,1.9622857080838152E15
0.2,73.9436852728132-3.311251667818363E-9i,464601.8768648514-2.080520782761024E-5i,-4.4780722729758346E-11,-1.1165518766130423E10
0.2,74.36111849005526+3.1113126334171096E-9i,467224.6871221555+1.954895382432861E-5i,4.184058411968619E-11,1.1950119973701506E10
0.2,78.8579428464799-3.8000209197482793E-8i,495479.06784741004-2.3876235609937444E-4i,-4.818818222466358E-10,-1.0375987989521859E9
0.25,5.24086123149081-8.97707635675286E-15i,32929.30228667017-5.640463426617882E-11i,-1.7129009832987411E-15,-2.9190245371748775E14
0.25,9.267636248545083-1.2612977101970932E-15i,58230.275909143405-7.924967240689631E-12i,-1.360970237038709E-16,-3.673849628687941E15
0.25,23.86086020608769+9.910290161754351E-15i,149922.20626355626+6.226818953422134E-11i,4.153366675031233E-16,1.203842663364751E15
