L,w,w_cubic,alpha,num_vert,num_hori,strain,stress
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.03333333333333333,0.018546784
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.06666666666666667,0.035728842
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.1,0.05118957
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.13333333333333333,0.06427321
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.16666666666666666,0.07681443
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.2,0.08805108
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.23333333333333334,0.097801626
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.26666666666666666,0.106717445
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.3,0.1146884
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.3333333333333333,0.122255966
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.36666666666666664,0.1296307
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.4,0.13668217
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.43333333333333335,0.14363901
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.4666666666666667,0.15070008
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.5,0.15804914
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.5333333333333333,0.16606921
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.5666666666666667,0.17545825
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.6,0.18596438
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.6333333333333333,0.19759242
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.6666666666666666,0.2104143
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.7,0.22445655
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.7333333333333333,0.23995845
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.7666666666666666,0.2571867
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.8,0.2762961
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.8333333333333334,0.29684746
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.8666666666666667,0.31818637
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.9,0.3407987
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.9333333333333333,0.36446565
2.2,0.45,0.091125,0.9599311,2.0,4.0,0.9666666666666667,0.39304
2.2,0.45,0.091125,0.9599311,2.0,4.0,1.0,0.4252751
1.8,0.5,0.125,1.2217305,4.0,1.0,0.03333333333333333,0.036689807
1.8,0.5,0.125,1.2217305,4.0,1.0,0.06666666666666667,0.0726952
1.8,0.5,0.125,1.2217305,4.0,1.0,0.1,0.107560836
1.8,0.5,0.125,1.2217305,4.0,1.0,0.13333333333333333,0.14089805
1.8,0.5,0.125,1.2217305,4.0,1.0,0.16666666666666666,0.17246215
1.8,0.5,0.125,1.2217305,4.0,1.0,0.2,0.20216608
1.8,0.5,0.125,1.2217305,4.0,1.0,0.23333333333333334,0.23006202
1.8,0.5,0.125,1.2217305,4.0,1.0,0.26666666666666666,0.25630116
1.8,0.5,0.125,1.2217305,4.0,1.0,0.3,0.28109154
1.8,0.5,0.125,1.2217305,4.0,1.0,0.3333333333333333,0.30468526
1.8,0.5,0.125,1.2217305,4.0,1.0,0.36666666666666664,0.32736045
1.8,0.5,0.125,1.2217305,4.0,1.0,0.4,0.34941575
1.8,0.5,0.125,1.2217305,4.0,1.0,0.43333333333333335,0.37115836
1.8,0.5,0.125,1.2217305,4.0,1.0,0.4666666666666667,0.39289466
1.8,0.5,0.125,1.2217305,4.0,1.0,0.5,0.4149116
1.8,0.5,0.125,1.2217305,4.0,1.0,0.5333333333333333,0.43746394
1.8,0.5,0.125,1.2217305,4.0,1.0,0.5666666666666667,0.4607622
1.8,0.5,0.125,1.2217305,4.0,1.0,0.6,0.48496366
1.8,0.5,0.125,1.2217305,4.0,1.0,0.6333333333333333,0.51017255
1.8,0.5,0.125,1.2217305,4.0,1.0,0.6666666666666666,0.5364392
1.8,0.5,0.125,1.2217305,4.0,1.0,0.7,0.563762
1.8,0.5,0.125,1.2217305,4.0,1.0,0.7333333333333333,0.59208834
